,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,combined_blk_street_name,oneMapAPI_Name,time_to_city,nearest_mall,nearest_school,nearest_mrt,storey,town_premium,flat_model_premium
69,2018-02,BEDOK,EXECUTIVE,661,JLN DAMAI,10 TO 12,143.0,Apartment,1996,77,730000.0,661 JLN DAMAI,EUNOS DAMAI VILLE,26.7,2945,458,581,11,40000.0,-62000.0
70,2018-02,BEDOK,EXECUTIVE,637,BEDOK RESERVOIR RD,07 TO 09,142.0,Apartment,1993,74,739000.0,637 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,8,40000.0,-62000.0
71,2018-03,BEDOK,EXECUTIVE,639,BEDOK RESERVOIR RD,04 TO 06,143.0,Apartment,1993,74,685000.0,639 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,5,40000.0,-62000.0
72,2018-03,BEDOK,EXECUTIVE,663,JLN DAMAI,10 TO 12,145.0,Apartment,1996,77,760000.0,663 JLN DAMAI,EUNOS DAMAI VILLE,26.7,2945,458,581,11,40000.0,-62000.0
73,2018-03,BEDOK,EXECUTIVE,94C,BEDOK NTH AVE 4,07 TO 09,143.0,Apartment,1993,74,770000.0,94C BEDOK NTH AVE 4,94C BEDOK NORTH AVENUE 4 SINGAPORE 462094,33.01666667,2434,318,1095,8,40000.0,-62000.0
74,2018-04,BEDOK,EXECUTIVE,640,BEDOK RESERVOIR RD,04 TO 06,144.0,Apartment,1993,74,680000.0,640 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,5,40000.0,-62000.0
75,2018-04,BEDOK,EXECUTIVE,638,BEDOK RESERVOIR RD,07 TO 09,146.0,Apartment,1993,74,730000.0,638 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,8,40000.0,-62000.0
76,2018-04,BEDOK,EXECUTIVE,10D,BEDOK STH AVE 2,19 TO 21,145.0,Apartment,1995,76,865000.0,10D BEDOK STH AVE 2,10D BEDOK SOUTH AVENUE 2 SINGAPORE 463010,32.35,1285,409,1585,20,40000.0,-62000.0
77,2018-05,BEDOK,EXECUTIVE,94B,BEDOK NTH AVE 4,04 TO 06,143.0,Apartment,1993,74,685000.0,94B BEDOK NTH AVE 4,94B BEDOK NORTH AVENUE 4 SINGAPORE 461094,32.3,2390,295,1099,5,40000.0,-62000.0
78,2018-05,BEDOK,EXECUTIVE,94C,BEDOK NTH AVE 4,07 TO 09,143.0,Apartment,1993,74,720000.0,94C BEDOK NTH AVE 4,94C BEDOK NORTH AVENUE 4 SINGAPORE 462094,33.01666667,2434,318,1095,8,40000.0,-62000.0
79,2018-05,BEDOK,EXECUTIVE,94C,BEDOK NTH AVE 4,13 TO 15,143.0,Apartment,1993,74,740000.0,94C BEDOK NTH AVE 4,94C BEDOK NORTH AVENUE 4 SINGAPORE 462094,33.01666667,2434,318,1095,14,40000.0,-62000.0
80,2018-05,BEDOK,EXECUTIVE,725,BEDOK RESERVOIR RD,07 TO 09,142.0,Apartment,1984,65,780000.0,725 BEDOK RESERVOIR RD,RESERVOIR VIEW,35.36666667,1549,845,892,8,40000.0,-62000.0
81,2018-06,BEDOK,EXECUTIVE,94B,BEDOK NTH AVE 4,07 TO 09,141.0,Apartment,1993,73,765000.0,94B BEDOK NTH AVE 4,94B BEDOK NORTH AVENUE 4 SINGAPORE 461094,32.3,2390,295,1099,8,40000.0,-62000.0
82,2018-07,BEDOK,EXECUTIVE,641,BEDOK RESERVOIR RD,01 TO 03,144.0,Apartment,1993,74,715000.0,641 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,2,40000.0,-62000.0
83,2018-07,BEDOK,EXECUTIVE,644,BEDOK RESERVOIR RD,10 TO 12,144.0,Apartment,1993,73,728000.0,644 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,11,40000.0,-62000.0
84,2018-07,BEDOK,EXECUTIVE,94C,BEDOK NTH AVE 4,10 TO 12,143.0,Apartment,1993,73,830000.0,94C BEDOK NTH AVE 4,94C BEDOK NORTH AVENUE 4 SINGAPORE 462094,33.01666667,2434,318,1095,11,40000.0,-62000.0
85,2018-08,BEDOK,EXECUTIVE,10D,BEDOK STH AVE 2,19 TO 21,143.0,Apartment,1995,76,750000.0,10D BEDOK STH AVE 2,10D BEDOK SOUTH AVENUE 2 SINGAPORE 463010,32.35,1285,409,1585,20,40000.0,-62000.0
86,2018-10,BEDOK,EXECUTIVE,94B,BEDOK NTH AVE 4,10 TO 12,143.0,Apartment,1993,73,728000.0,94B BEDOK NTH AVE 4,94B BEDOK NORTH AVENUE 4 SINGAPORE 461094,32.3,2390,295,1099,11,40000.0,-62000.0
87,2018-10,BEDOK,EXECUTIVE,29,CHAI CHEE AVE,07 TO 09,143.0,Apartment,1996,77,785000.0,29 CHAI CHEE AVE,ANSAR GARDEN,24.81666667,783,1047,1422,8,40000.0,-62000.0
88,2018-11,BEDOK,EXECUTIVE,719,BEDOK RESERVOIR RD,04 TO 06,143.0,Apartment,1984,64,650000.0,719 BEDOK RESERVOIR RD,BEDOK RESERVOIR GARDEN,34.98333333,1688,137,773,5,40000.0,-62000.0
89,2018-11,BEDOK,EXECUTIVE,639,BEDOK RESERVOIR RD,13 TO 15,144.0,Apartment,1993,74,750000.0,639 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,14,40000.0,-62000.0
90,2018-11,BEDOK,EXECUTIVE,662,JLN DAMAI,07 TO 09,143.0,Apartment,1996,77,751888.0,662 JLN DAMAI,EUNOS DAMAI VILLE,26.7,2945,458,581,8,40000.0,-62000.0
91,2018-11,BEDOK,EXECUTIVE,661,JLN DAMAI,07 TO 09,145.0,Apartment,1996,77,770000.0,661 JLN DAMAI,EUNOS DAMAI VILLE,26.7,2945,458,581,8,40000.0,-62000.0
92,2018-11,BEDOK,EXECUTIVE,10B,BEDOK STH AVE 2,07 TO 09,141.0,Apartment,1995,76,800000.0,10B BEDOK STH AVE 2,10B BEDOK SOUTH AVENUE 2 SINGAPORE 461010,33.73333333,1210,334,1510,8,40000.0,-62000.0
93,2018-12,BEDOK,EXECUTIVE,639,BEDOK RESERVOIR RD,07 TO 09,143.0,Apartment,1993,74,710000.0,639 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,8,40000.0,-62000.0
